Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12880.5512,13540.54926,13787.47977,14594.29594,15607.67206,14944.79579,15898.11574,16717.05224,17374.68638,17963.63813,19189.44832,18444.3153,18683.9884,19982.68658,21464.36543,23296.72403,26724.1973,29593.08035,29708.97175,25923.11203,23850.14027,23584.27145,22350.49328,21806.39202,21788.6401,21162.09279,21558.99543,21672.04489,23604.83696,24641.22935,20130.16905,22622.17612,26365.46898,
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17380.88169,17835.35808,18253.58163,19215.96059,20170.5254,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.81403,29032.49096,30121.81842,31763.79609,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39374.6321,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534,52746.71829,54064.07947,57406.17876,65388.21596,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19459.18538,20602.88423,21278.10084,21717.38271,22626.69994,23681.21233,24552.02648,25422.02329,26674.8408,27606.48303,29379.7423,29711.58386,31178.69333,32146.01529,33774.78739,35013.71404,37661.92242,39439.6039,41316.22518,40916.91974,42002.15714,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,60574.6271,58610.83436,63421.20359,70975.72063,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461,14495.65697,15927.21015,17828.60839,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.3716475,648.3308671,652.5122225,647.4770436,632.4249539,559.8362994,524.6810684,525.8317273,546.7198398,535.9623371,532.4259199,542.0301902,559.1123373,545.7755393,566.0916315,567.7007004,595.2055657,609.5935955,625.2437396,620.8967338,630.358193,646.1031275,651.9523273,696.4970002,728.8700603,797.0501141,766.5872206,750.7876163,758.2490316,760.6041261,751.2009119,787.9427787,836.4645675,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18675.31219,19587.85535,20258.54745,20459.18915,21504.01177,22431.45936,22736.75807,23727.89752,24368.75741,25440.84119,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37748.39943,39833.18405,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,56621.54176,55756.66825,62107.06993,68253.33207,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.214582,1275.135741,1302.24048,1349.490345,1354.590804,1436.737626,1487.598078,1554.145493,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3113.254758,3290.307,3364.973012,3665.193804,4057.451755,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.6301463,625.1781954,625.3228272,646.0470734,651.8797993,685.7886884,755.7081414,796.5891492,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.530924,2195.355619,2206.612252,2401.228086,2549.934982,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.9480034,1028.28859,1088.740137,1144.970832,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776291,5247.694696,5699.078134,5904.567363,6522.555826,7397.545737,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545.531387,7212.992912,6914.716178,7029.690063,7335.20045,7737.736408,6846.440184,5749.357023,6177.632446,5807.791822,6422.779427,6961.062615,7937.378269,8417.454559,9201.71602,10291.42387,11408.08873,12822.26646,14346.94115,14180.7101,14955.89513,15747.39237,16327.24932,16649.37263,17616.38795,18385.98036,20065.61871,21457.90199,23005.92506,25527.26356,25736.21821,29406.57959,35469.87165,
